numero,nom,id_groupe,id_genre
253,Who Says,9,6
254,De Una Vez,9,6
255,We Don't Talk Anymore,9,6
256,Birthday,9,6
257,Forget Forever,9,6
258,Write Your Name,9,6
259,Ring,9,6
260,Vulnerable,9,6
261,Come & Get It,9,6
262,Kill Em With Kindness,9,6
263,Hands To Myself,9,6
264,Survivors,9,6
265,Cut You Off,9,6
266,Baila Conmigo,9,6
267,Stars Dance,9,6
268,Save The Day,9,6
269,Undercover,9,6
270,Sober,9,6
271,Rise,9,6
272,Dance Again,9,6
273,Camouflage,9,6
274,Love Will Remember,9,6
275,Like A Champion,9,6
276,Bad Liar,9,6
277,Love You Like A Love Song,9,6
278,Rare,9,6
279,Good For You,9,6
280,Do It,9,6
281,Same Old Love,9,6
282,The Heart Wants What It Wants,9,6
283,Blinding Lights,10,22
284,Starboy,10,22
285,Reminder,10,22
286,Call Out My Name,10,22
287,Creepin',10,22
288,Earned It,10,22
289,Often,10,22
290,I Feel It Coming,10,22
291,Pray For Me,10,22
292,Can't Feel My Face,10,22
293,Party Monster,10,22
294,Lost in the Fire,10,22
295,Nothing Is Lost,10,22
296,Wicked Games,10,22
297,Take My Breath,10,22
298,Escape From LA,10,22
299,Save Your Tears,10,22
300,I Was Never There,10,22
301,Die for You,10,22
302,Trianapuente y aparte,25,13
